ballpark,run_diff,park_factor_runs
"N. Little Rock, Ark.",-0.24769,0.954966
"Myrtle Beach, S.C. (TicketReturn.com Field)",-0.24881,0.954762
Kissimmee FL,-0.25014,0.954521
"Sacramento, Calif.",-0.25038,0.954476
"Olean, NY",-0.25045,0.954464
"Biloxi, MS",-0.25109,0.954347
"Hammond, La.",-0.25116,0.954334
"Pasco, Wash.",-0.25116,0.954334
"Thibodaux, LA",-0.25156,0.954262
Savannah St.,-0.25187,0.954205
Western Ill.,-0.25338,0.953931
"Montgomery, Ala.",-0.2536,0.953891
"Pearl, MS",-0.25367,0.953877
"Arlington, Va.",-0.25389,0.953837
"Punta Gorda, Fla",-0.25868,0.952967
"College Station, Tex",-0.25954,0.952812
"Summerville, S.C.",-0.26179,0.952403
"San Diego, CA",-0.26191,0.952381
"Greenville, S.C. (Fluor Field)",-0.26271,0.952235
"Brookline, Mass.",-0.26339,0.952111
"Emerson, Georgia",-0.26484,0.951848
"Lynchburg,Va.",-0.26618,0.951603
D1 Baseball Tournament,-0.26642,0.95156
"North Port, Fla.",-0.26818,0.951241
CSUN,-0.26953,0.950994
"DeLand, Florida",-0.27005,0.9509
"Edwardsville, IL",-0.27009,0.950893
"Surprise, Ariz",-0.27322,0.950323
"Surprise, Arizona",-0.27418,0.95015
Lindenwood (IL),-0.27436,0.950116
"Gainesville, FL",-0.27489,0.95002
"South Orange, N.J.",-0.27495,0.950009
"Tampa, Fla.",-0.27601,0.949816
"Greenville, SC (SoCon Baseball Championship)",-0.2767,0.949691
"Papillion, Neb.",-0.27793,0.949467
"Lillington, NC",-0.27871,0.949326
"Roswell, N.M.",-0.2805,0.949
"Sumter, S.C.",-0.28302,0.948542
"Frisco, Texas",-0.28385,0.948391
"Shirley, N.Y.",-0.28471,0.948234
"Boiling Springs, Boiling Springs",-0.28575,0.948045
"Columbia, Md",-0.28796,0.947643
Deland. Fla.,-0.28822,0.947597
"Marion, IL (OVC Baseball Championship)",-0.29349,0.946639
"Vestal, NY (America East Baseball Championship)",-0.29449,0.946457
"Houston,TX",-0.29586,0.946208
"Deland, Fla.",-0.29602,0.946179
"Sugar Land, TX",-0.29884,0.945666
"Oxford, Ala.",-0.29958,0.945531
Alabama,-0.29962,0.945524
"Corvallis, Ore.",-0.30129,0.945221
"Brooklyn, N.Y.",-0.30181,0.945126
"Niles, OH",-0.30603,0.944359
"Omaha, Neb,",-0.30882,0.943852
FGCU,-0.30954,0.94372
"Savannah, Ga.",-0.31029,0.943584
"Terre Haute, Ind.",-0.31219,0.943238
"Salem, Va.",-0.31453,0.942813
"Aurburndale, Fla.",-0.31675,0.94241
"Council Bluffs, Iowa",-0.31679,0.942402
Louisville,-0.31698,0.942368
"Waco, Texas",-0.31819,0.942147
Fairfield,-0.32004,0.94181
North Dakota St.,-0.32285,0.941301
Dickey-Stephens Park,-0.32385,0.941118
"Pittsburgh, Pa.",-0.32522,0.94087
"Annapolis, Md.",-0.32722,0.940505
"Manhattan, Kan.",-0.32771,0.940416
"North Augusta, SC",-0.32969,0.940057
"BeaR, Del.",-0.33051,0.939907
"Phoenix, AZ",-0.33464,0.939156
"Frisco, TX",-0.33734,0.938666
"Lafayette, LA",-0.33837,0.938479
"Lynchburg, Va.",-0.34072,0.938052
UCF,-0.34155,0.9379
West Virginia_2,-0.34211,0.937799
Bethune-Cookman,-0.34216,0.937789
"Towson, MD",-0.34239,0.937748
"Omaha, NE (Big 10 Tournament)",-0.34319,0.937602
"Peoria, Arizona",-0.34385,0.937482
"Oklahoma City, OK (DI Baseball Tournament)",-0.34473,0.937322
"Omaha, Neb. (DI Baseball Tournament)",-0.34659,0.936984
"Minneapolis, MN",-0.35053,0.936268
"Newark, Del.",-0.3511,0.936163
"Princess Anne, Md.",-0.3538,0.935673
"Rock Hill, SC",-0.35402,0.935632
"Pawtucket, RI",-0.35422,0.935596
Maryland,-0.35533,0.935394
"DeLand, Fla.",-0.35577,0.935314
"Jacksonville, Fla.",-0.35795,0.934918
Tougaloo,-0.35803,0.934903
"Conway, Ark.",-0.359,0.934727
Presbyterian,-0.35985,0.934573
"Long Beach, Calif.",-0.36091,0.93438
Campbell,-0.36129,0.934311
West Virginia,-0.36338,0.933931
Indiana St.,-0.36531,0.933579
UAB,-0.3676,0.933163
"Marion, IL",-0.36814,0.933066
"Niagara Falls, NY",-0.36869,0.932966
"Kansas City, Mo.",-0.3689,0.932926
California,-0.36932,0.932851
"Staten Island, N.Y.",-0.36989,0.932748
"Terre Haute, IN",-0.37044,0.932648
Michigan St.,-0.37495,0.931827
Central Mich.,-0.37683,0.931486
"Cary, N.C.",-0.37771,0.931325
Texas A&M,-0.37777,0.931315
"Lexington, S.C.",-0.37806,0.931262
"Delray Beach, Fla.",-0.38805,0.929445
"Berkeley, Calif.",-0.40171,0.926962
"Florence, S.C.",-0.40284,0.926757
Saint Joseph's,-0.40402,0.926542
"Annapolis, MD",-0.40856,0.925715
"Mequon, WI",-0.4126,0.924981
Purdue Fort Wayne,-0.41507,0.924533
"Santa Clara, Calif.",-0.41529,0.924492
MSU Denver,-0.41734,0.92412
"Goose Creek, S.C.",-0.41865,0.923882
"Orono, Maine",-0.43193,0.921467
Evansville,-0.43439,0.92102
"Port Chalotte, Fla.",-0.43496,0.920917
TCU,-0.43537,0.920841
Eastern Mich.,-0.43542,0.920833
Stony Brook,-0.43627,0.920679
"Richmond, KY",-0.43782,0.920397
"Surprise, AZ",-0.44095,0.919828
"Bismarck, N.D.",-0.44277,0.919497
"Tulsa, Okla.",-0.44421,0.919235
"Aberdeen, Md.",-0.44497,0.919096
Norfolk St.,-0.44653,0.918812
Cincinnati,-0.44778,0.918586
"Jackson, MS",-0.44992,0.918197
"Midland, Texas",-0.45251,0.917726
"Lawrence, Kansas",-0.45461,0.917343
"Fort Worth, TX",-0.45474,0.91732
California Baptist,-0.45834,0.916665
Saint Mary's (CA),-0.4604,0.916292
"Greenville, N.C.",-0.46211,0.91598
Illinois St.,-0.46288,0.91584
"NEW BRITAIN, Conn.",-0.46739,0.91502
Central Conn. St.,-0.46806,0.914898
Florida,-0.46897,0.914732
"Cranbury, N.J.",-0.46919,0.914692
"Teaneck, NJ",-0.46945,0.914646
Bradley,-0.47011,0.914526
Valparaiso,-0.4733,0.913945
"Biloxi, MS (Conference USA Championship)",-0.47475,0.913682
"Fort Myers, FL",-0.47572,0.913506
"Grand Prairie, TX",-0.47744,0.913193
"West Hartford, Conn.",-0.4776,0.913165
Rice,-0.47816,0.913061
"Jacksonville, FL",-0.47849,0.913002
Tulane,-0.48051,0.912635
Louisiana,-0.4832,0.912146
"Tulsa, OK",-0.48621,0.911598
"Metairie, LA",-0.48672,0.911505
"Babson Park, FL",-0.491,0.910727
"Raleigh, N.C.",-0.49234,0.910483
Niagara,-0.49309,0.910348
East Carolina,-0.49961,0.909161
"New York, NY",-0.50193,0.908739
"Charleston, SC",-0.50336,0.908479
"Columbia, SC",-0.50549,0.908092
Fresno St.,-0.50723,0.907777
"Rochester, N.Y.",-0.51826,0.905772
UTRGV,-0.53233,0.903213
Col. of Charleston,-0.53342,0.903014
"Harrisonburg, VA (CAA Baseball Championship)",-0.5337,0.902964
San Diego St.,-0.53484,0.902756
"San Antonio, Texas",-0.54088,0.901658
"Punta Gorda, FL",-0.54098,0.901639
UMES,-0.54301,0.90127
Miami (FL),-0.55397,0.899277
"Emerson, GA",-0.55719,0.898693
"Hillsboro, Ore.",-0.55859,0.898438
"Lowell, Mass.",-0.56272,0.897687
"Omaha, NE",-0.57079,0.89622
"Millington, Tenn.",-0.57452,0.895542
"Biloxi, Miss.",-0.57468,0.895513
UC Santa Barbara,-0.57761,0.89498
Dartmouth,-0.57955,0.894627
"Stanford, Calif.",-0.58254,0.894085
"Bronx, N.Y.",-0.58257,0.894078
Purdue,-0.58321,0.893961
"Nashville, TN",-0.58467,0.893697
"Petersburg, VA",-0.59218,0.89233
"Ypsilanti, Mich.",-0.59257,0.89226
San Jose St.,-0.59544,0.891739
Manhattan,-0.59698,0.891458
"Boston, Mass.",-0.59928,0.89104
Gardner-Webb,-0.59997,0.890914
"Washington, D.C.",-0.60042,0.890834
Milwaukee,-0.60343,0.890286
"Nacogdoches, TX",-0.61023,0.889049
South Fla.,-0.6107,0.888963
"Mesa, AZ (WAC Baseball Tournament)",-0.61238,0.888659
Massachusetts,-0.61249,0.888638
Central Ark.,-0.61485,0.888209
"New Orleans, La",-0.61529,0.888129
"Daytona Beach, FL (MEAC Baseball Championship)",-0.61643,0.887921
"San Francisco, CA",-0.62067,0.88715
"Kinston, NC",-0.62442,0.886469
"Bel Air, Md.",-0.62734,0.885938
Maine,-0.63096,0.885279
"Norwich, Conn. (Northeast Conf. Championship)",-0.63271,0.884962
Arlington Baptist,-0.63311,0.884889
"Los Angeles, CA",-0.63999,0.883639
Army West Point,-0.64069,0.88351
Southern California,-0.64208,0.883258
"Fayetteville, NC",-0.6429,0.883109
"Avon, Ohio",-0.64318,0.883057
UCLA,-0.6436,0.882982
Siena,-0.64566,0.882608
George Washington,-0.65185,0.881482
"New Orleans, LA",-0.65454,0.880992
Monmouth,-0.65764,0.880429
"Troy, Ala.",-0.6616,0.879709
"Mesa, Arizona",-0.66277,0.879497
"Richmond, Va.",-0.66859,0.878438
San Francisco,-0.68042,0.876287
Seattle U,-0.68521,0.875416
"Pearl, Miss.",-0.68646,0.875189
"Mount Pleasant, S.C.",-0.68702,0.875087
"Lakewood, N.J.",-0.68707,0.875078
LMU (CA),-0.68967,0.874606
"St. Louis, MO",-0.6929,0.874018
"Brooklyn, NY",-0.69497,0.873642
Portland,-0.70037,0.87266
Butler,-0.70658,0.871531
Winthrop,-0.7082,0.871237
Lamar University,-0.71021,0.870871
Boston College,-0.71387,0.870205
Cal Poly,-0.71755,0.869536
Binghamton,-0.71926,0.869225
"Yaphank, NY",-0.71989,0.86911
"Norwich, Conn.",-0.72107,0.868896
"Buies Creek, N.C.",-0.72276,0.868589
Cornell,-0.72339,0.868474
"Seattle, WA",-0.72444,0.868283
"Arlington, VA",-0.72963,0.86734
Duke,-0.73938,0.865567
"Jackson, Miss.",-0.75175,0.863317
"Fishkill, N.Y.",-0.75375,0.862955
Southern Ill.,-0.75389,0.862929
Liberty,-0.76434,0.861029
"Mequon, Wis.",-0.76886,0.860207
Missouri,-0.76991,0.860017
New York Tech,-0.77445,0.859191
"Pensacola, FL",-0.77843,0.858467
"Houston, TX",-0.78466,0.857335
"Jacksonville, AL",-0.79833,0.854849
"Hoover, Ala.",-0.79993,0.854559
"Auburn, Ala.",-0.80031,0.854489
"Hoover, AL (SEC Baseball Tournament)",-0.80293,0.854012
"Chicago, Ill.",-0.80334,0.853938
South Carolina,-0.81927,0.851042
"Wichita, Kan.",-0.82229,0.850492
"Elon, N.C.",-0.82679,0.849674
UConn,-0.83334,0.848483
"Kinston, N.C.",-0.83934,0.847392
"Oxford, Miss.",-0.84495,0.846372
"Clemson, S.C.",-0.85436,0.844662
Iona,-0.86799,0.842184
"Cary, NC",-0.87386,0.841117
Akron,-0.87645,0.840645
"Durham, N.C.",-0.89606,0.837079
"Morehead City, N.C.",-0.90345,0.835736
"Marion, Ill.",-0.90643,0.835194
Oral Roberts,-0.90686,0.835116
George Mason,-0.91248,0.834094
Holy Cross,-0.91706,0.833261
"Stockton, CA (WCC Championship)",-0.92957,0.830987
Northwestern St.,-0.96104,0.825265
"Rochester, Mich.",-0.96349,0.82482
"Normal, Ill.",-0.96492,0.824561
"Los Angeles, Calif.",-0.96927,0.82377
Princeton,-0.97133,0.823395
Wagner,-0.98035,0.821754
"Houston, Texas",-0.99171,0.81969
"Hattiesburg, MS",-0.99177,0.819677
Yale,-1.00562,0.81716
Stetson,-1.01757,0.814986
"Edwardsville, Ill.",-1.06248,0.806822
"Emerson, Ga.",-1.073,0.804909
Cal St. Fullerton,-1.0857,0.802601
"Bronx, NY (Atlantic 10 Baseball Championship)",-1.09448,0.801004
"Wilson, N.C.",-1.09648,0.800641
"Myrtle Beach, SC",-1.11917,0.796514
"Indianapolis, Ind.",-1.14118,0.792513
"Sugar Land, Texas",-1.14186,0.792389
Rhode Island,-1.14976,0.790952
"Lafayette, La.",-1.15447,0.790097
Pepperdine,-1.17097,0.787097
"Coral Gables, Fla.",-1.17147,0.787005
"Boiling Springs, NC",-1.17206,0.786898
Oregon,-1.17325,0.786682
Bucknell,-1.19308,0.783077
Minnesota,-1.20124,0.781593
"Omaha, NE (DI Baseball Tournament)",-1.20416,0.781061
"Kingston, R.I.",-1.22388,0.777475
UMass Lowell,-1.22443,0.777376
UIC,-1.26171,0.770598
Sacramento St.,-1.27657,0.767896
UC Irvine,-1.30335,0.763028
"Pensacola, Fla.",-1.306,0.762546
Stanford,-1.32436,0.759208
Northeastern,-1.35422,0.753777
VCU,-1.36182,0.752396
Navy,-1.37174,0.750593
Seton Hall,-1.38581,0.748034
Nicholls St.,-1.41053,0.74354
Hawaii,-1.418,0.742181
Houston,-1.4234,0.741201
Notre Dame,-1.46192,0.734197
Villanova,-1.46731,0.733216
Fordham,-1.49188,0.728749
Washington,-1.52401,0.722907
"Sugar Land, TX (Southland Tournament)",-1.53344,0.721192
Texas,-1.58834,0.71121
"Minneapolis, Minn.",-1.62127,0.705224
"Myrtle Beach, S.C.",-1.68995,0.692736
Oregon St.,-1.76945,0.678282
"Corpus Christi, TX",-1.83564,0.666248
Long Beach St.,-1.83661,0.666071
"Omaha, Neb.",-2.06158,0.625167
Creighton,-2.2478,0.591309
